race,boat,n,kind,wind,min,sog,vmg,twa,eff,svmg,ssog,stwa,keep,extra,tacks,gybes,tloss_m,tloss_s,gloss_m,gloss_s,loss_m,loss_s,tdip,gdip
2,Yupi,1,beat,314,33.4,5.66,4.5,36.5,0.794,4.52,5.69,36.5,0.926,1111,6,0,2.5,1.1,,,15,7,3.8,
2,Yupi,2,run,321,16.4,11.74,8.7,137.1,0.741,8.93,12.03,137.3,0.884,1517,1,3,109.4,23.8,-0.5,-0.1,108,24,7.3,7.07
2,Yupi,3,beat,313,27.4,5.62,4.33,38.7,0.771,4.35,5.65,38.9,0.939,1003,4,0,1.9,0.8,,,7,3,3.58,
2,Yupi,4,run,313,14.3,11.94,8.84,138.2,0.74,8.88,12.13,137.0,0.894,1337,0,3,,,4.3,1.0,13,3,,8.83
2,joust70,1,beat,314,34.5,5.66,4.28,39.7,0.756,4.36,5.72,39.3,0.885,1341,10,0,11.1,5.0,,,111,50,3.98,
2,joust70,2,run,321,16.3,12.18,8.79,133.8,0.722,9.28,12.67,135.5,0.914,1690,1,2,121.0,25.3,57.9,12.2,237,50,10.0,4.75
2,joust70,3,beat,313,26.7,5.64,4.41,37.6,0.782,4.43,5.66,37.6,0.953,953,3,0,4.3,1.9,,,13,6,3.03,
2,joust70,4,run,313,14.1,12.05,8.93,137.7,0.741,9.13,12.39,136.8,0.91,1339,0,3,,,26.7,5.7,80,17,,8.3
2,noticia,1,beat,314,33.3,5.77,4.48,38.4,0.776,4.5,5.78,38.3,0.927,1226,6,0,2.3,1.0,,,14,6,3.52,
2,noticia,2,run,321,16.8,11.82,8.45,135.0,0.715,8.69,12.09,135.3,0.901,1725,2,2,65.3,14.6,2.4,0.5,136,30,5.9,7.8
2,noticia,3,beat,313,27.9,5.73,4.2,42.0,0.732,4.23,5.77,42.0,0.88,1254,8,0,2.6,1.2,,,21,10,3.5,
2,noticia,4,run,313,15.2,11.74,8.46,136.3,0.72,8.62,12.04,135.5,0.901,1533,0,3,,,23.3,5.3,70,16,,6.63
2,Team Sweden,1,beat,314,35.1,5.7,4.31,39.9,0.756,4.39,5.77,39.5,0.912,1492,8,0,12.0,5.3,,,96,43,4.06,
2,Team Sweden,2,run,321,17.3,11.81,8.31,134.3,0.704,8.41,11.99,134.3,0.89,1849,1,3,93.0,21.5,-16.0,-3.7,45,10,4.9,9.83
2,Team Sweden,3,beat,313,28.2,5.63,4.17,41.4,0.742,4.24,5.71,41.3,0.853,1183,10,0,5.1,2.3,,,51,23,3.65,
2,Team Sweden,4,run,313,14.0,12.25,9.02,137.8,0.737,9.42,12.86,136.6,0.836,1378,0,5,,,32.3,6.7,162,33,,6.18
3,J70 Let it be,1,beat,324,36.3,5.81,4.26,42.0,0.733,4.29,5.82,41.7,0.955,1584,4,0,7.5,3.4,,,30,14,4.3,
